rank,title,director,attrs,date,rating_num,rating_people
52,闻香识女人,马丁·布莱斯 Martin Brest, 阿尔·帕西诺 Al Pacino / 克里斯,1992,9.1,1024062
53,大闹天宫,万籁鸣 Laiming Wan, 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu,,9.4,510305
54,黑客帝国,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,,1999,9.1,951314
55,指环王1：护戒使者,彼得·杰克逊 Peter Jackson, 伊利亚·伍德 Elijah Wood / 西恩,2001,9.1,961007
56,罗马假日,威廉·惠勒 William Wyler, 奥黛丽·赫本 Audrey Hepburn / 格,1953,9.1,1049204
57,教父2,弗朗西斯·福特·科波拉 Francis Ford Coppola, 阿尔·帕西诺 A,1974,9.3,640751
58,狮子王,Roger Allers / 罗伯·明可夫 Rob Minkoff, 乔纳森·泰勒·托马,1994,9.1,961752
59,天堂电影院,朱塞佩·托纳多雷 Giuseppe Tornatore, 菲利普·努瓦雷 Philipp,1988,9.2,742026
60,饮食男女,李安 Ang Lee, 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴,1994,9.2,726241
61,辩护人,杨宇硕 Woo-seok Yang, 宋康昊 Kang-ho Song / 金英爱 Yeong-ae,2013,9.2,658607
62,本杰明·巴顿奇事,大卫·芬奇 David Fincher, 布拉德·皮特 Brad Pitt / 凯特·布,2008,9.0,1106187
63,搏击俱乐部,大卫·芬奇 David Fincher, 爱德华·诺顿 Edward Norton / 布拉,1999,9.0,976849
64,美丽心灵,朗·霍华德 Ron Howard, 罗素·克劳 Russell Crowe / 艾德·哈,2001,9.1,854221
65,穿条纹睡衣的男孩,马克·赫尔曼 Mark Herman, 阿萨·巴特菲尔德 Asa Butterfield ,2008,9.2,642537
66,哈利·波特与死亡圣器(下),大卫·叶茨 David Yates, 丹尼尔·雷德克里夫 Daniel Radcliffe,2011,9.0,972007
67,情书,岩井俊二 Shunji Iwai, 中山美穗 Miho Nakayama / 丰川悦司 Ets,1995,8.9,1327462
68,两杆大烟枪,盖·里奇 Guy Ritchie, 杰森·弗莱明 Jason Flemyng / 德克斯特,1998,9.1,678826
69,窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,,2006,9.2,632749
70,音乐之声,罗伯特·怀斯 Robert Wise, 朱莉·安德鲁斯 Julie Andrews / 克,1965,9.1,685104
71,功夫,周星驰 Stephen Chow, 周星驰 Stephen Chow / 元秋 Qiu Yuen ,2004,8.9,1338260
72,哈利·波特与阿兹卡班的囚徒,阿方索·卡隆 Alfonso Cuarón, 丹尼尔·雷德克里夫 Daniel Rad,2004,9.0,892551
73,阿凡达,詹姆斯·卡梅隆 James Cameron, 萨姆·沃辛顿 Sam Worthington ,2009,8.8,1587937
74,西西里的美丽传说,朱塞佩·托纳多雷 Giuseppe Tornatore, 莫妮卡·贝鲁奇 Monica ,2000,8.9,1094634
