rank,title,director,attrs,date,rating_num,rating_people
208,疯狂的麦克斯4：狂暴之路,乔治·米勒 George Miller, 汤姆·哈迪 Tom Hardy / 查理兹·塞,2015,8.7,621742
209,可可西里,陆川 Chuan Lu, 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L,2004,8.9,348419
210,你看起来好像很好吃,藤森雅也 Masaya Fujimori, 山口胜平 Kappei Yamaguchi / 爱河,2010,8.9,377792
211,贫民窟的百万富翁,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan, 戴夫,2008,8.6,809402
212,波西米亚狂想曲,布莱恩·辛格 Bryan Singer, 拉米·马雷克 Rami Malek / 本·哈,2018,8.6,694482
213,城市之光,查理·卓别林 Charles Chaplin, 查理·卓别林 Charles Chaplin ,1931,9.3,174218
214,爆裂鼓手,达米恩·查泽雷 Damien Chazelle, 迈尔斯·特勒 Miles Teller ,2014,8.6,695190
215,青蛇,徐克 Hark Tsui, 张曼玉 Maggie Cheung / 王祖贤 Joey Wang ,1993,8.6,603924
216,哈利·波特与死亡圣器(上),大卫·叶茨 David Yates, 丹尼尔·雷德克里夫 Daniel Radcliffe,2010,8.6,700392
217,无耻混蛋,昆汀·塔伦蒂诺 Quentin Tarantino, 布拉德·皮特 Brad Pitt ,2009,8.7,566679
218,东邪西毒,王家卫 Kar Wai Wong, 张国荣 Leslie Cheung / 林青霞 Brigitte,1994,8.6,637832
219,大红灯笼高高挂,张艺谋 Yimou Zhang, 巩俐 Li Gong / 马精武 Jingwu Ma / 何赛,1991,8.8,376198
220,终结者2：审判日,詹姆斯·卡梅隆 James Cameron, 阿诺·施瓦辛格 Arnold Schwarz,1991,8.8,388369
221,黑天鹅,达伦·阿罗诺夫斯基 Darren Aronofsky, 娜塔莉·波特曼 Natalie,2010,8.6,850287
222,新龙门客栈,李惠民 Raymond Lee, 张曼玉 Maggie Cheung / 林青霞 Brigitte ,1992,8.7,513096
223,初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,,2010,8.5,1055249
224,千钧一发,安德鲁·尼科尔 Andrew Niccol, 伊桑·霍克 Ethan Hawke / 乌玛,1997,8.8,353482
225,人工智能,史蒂文·斯皮尔伯格 Steven Spielberg, 海利·乔·奥斯蒙 Haley,2001,8.7,505622
226,崖上的波妞,宫崎骏 Hayao Miyazaki, 奈良柚莉爱 Yuria Nara / 土井洋辉 Hir,2008,8.6,578782
227,雨人,巴瑞·莱文森 Barry Levinson, 达斯汀·霍夫曼 Dustin Hoffman ,1988,8.7,444955
228,虎口脱险,杰拉尔·乌里 Gérard Oury, 路易·德·菲耐斯 Louis de Funès,1966,8.9,298099
229,哈利·波特与凤凰社,大卫·叶茨 David Yates, 丹尼尔·雷德克里夫 Daniel Radcliffe,2007,8.6,700343
230,彗星来的那一夜,詹姆斯·沃德·布柯特 James Ward Byrkit, 艾米丽·芭尔多尼 Em,2013,8.6,690079
231,罗生门,黑泽明 Akira Kurosawa, 三船敏郎 Toshirô Mifune / 京町子 ,1950,8.8,360499
232,海边的曼彻斯特,肯尼斯·罗纳根 Kenneth Lonergan, 卡西·阿弗莱克 Casey Affle,2016,8.6,657651
233,恋恋笔记本,尼克·卡索维茨 Nick Cassavetes, 瑞恩·高斯林 Ryan Gosling ,2004,8.5,753465
234,火星救援,雷德利·斯科特 Ridley Scott, 马特·达蒙 Matt Damon / 杰西卡,2015,8.5,842716
235,真爱至上,理查德·柯蒂斯 Richard Curtis, 休·格兰特 Hugh Grant / 连姆,2003,8.5,811149
236,黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,,2003,8.7,458108
237,冰雪奇缘,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee, 克里斯汀,2013,8.5,836615
238,步履不停,是枝裕和 Hirokazu Koreeda, 阿部宽 Hiroshi Abe / 夏川结衣 Yu,2008,8.8,330241
239,奇迹男孩,斯蒂芬·卓博斯基 Stephen Chbosky, 雅各布·特伦布莱 Jacob Tr,2017,8.6,603064
240,千年女优,今敏 Satoshi Kon, 庄司美代子 Miyoko Shôji / 小山茉美 Mam,2001,8.8,320149
241,谍影重重2,保罗·格林格拉斯 Paul Greengrass, 马特·达蒙 Matt Damon ,2004,8.7,402215
242,战争之王,安德鲁·尼科尔 Andrew Niccol, 尼古拉斯·凯奇 Nicolas Cage ,2005,8.7,417791
243,蜘蛛侠：平行宇宙,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey   主...,,2018,8.6,761089
244,攻壳机动队,押井守 Mamoru Oshii, 田中敦子 Atsuko Tanaka / 大冢明夫 Akio,1995,9.0,220214
245,血钻,爱德华·兹威克 Edward Zwick, 莱昂纳多·迪卡普里奥 Leonardo ,2006,8.7,423932
246,小姐,朴赞郁 Chan-wook Park, 金敏喜 Min-hee Kim / 金泰梨 Tae-ri K,2016,8.5,581573
247,隐藏人物,特奥多尔·梅尔菲 Theodore Melfi, 塔拉吉·P·汉森 Taraji P. ,2016,8.9,275248
248,血观音,杨雅喆 Ya-che Yang, 惠英红 Kara Wai Ying Hung / 吴可熙 Wu K,2017,8.6,569013
249,魂断蓝桥,茂文·勒鲁瓦 Mervyn LeRoy, 费雯·丽 Vivien Leigh / 罗伯特·,1940,8.8,312222
250,房间,伦尼·阿伯拉罕森 Lenny Abrahamson, 布丽·拉尔森 Brie Larson,2015,8.7,401589
